"State", "Turnout,% of Voting-age Citizens", "18-24 Turnout Gap, Citizens, 2018", "Minority Turnout Gap, Citizens, 2018", "Contribution Limits per 4 Years, 3rd Party Ballot Access", "Nonpartisan or Bipartisan Redistricting, to Avoid Gerrymanders", "Good VBM List Tracks Address Changes & Deaths", Vote by Mail with No Specific Reason?, Mail Application or Ballot to All?, "Process Ballots on Receipt before Election Day?", "Number of Days when Voters Can Cure Signature Problems after Election Day", "VBM Ballots Counted as % of VBM Received, 2018", "Do Votes Have a Paper Trail?", "Hand Tally Audits, to Check Computer Tallies?", "Good Audit Sample to Check Computer Tallies?", "Audit All Contests? Number of Contests Checked", "Public Can Recount with Copies of Ballots",
Colorado  64 A,,4.4,3.7,2.0,5.0,,4,5,5,5,5,5,3,5,5,5,2,5,A
Rhode Island  63 A,,2.7,4.7,2.7,4.7,,1,5,5,5,5,5,5,5,5,5,2,5,A
Washington  60 A,,4.3,2.3,2.9,4.8,,5,5,5,5,5,5,5,5,1,3,2,1,A
California  57 A,,3.2,3.7,2.4,3.9,,5,5,5,4,5,5,3,3,3,1,5,2,A
Illinois  57 A,,2.9,3.0,3.0,3.7,,1,5,5,5,5,5,3,3,4,3,5,2,A
Georgia  56 A,,3.0,3.4,4.9,4.4,,1,5,5,1,5,3.4,5,3,5,5,2,1,A
Montana  55 A,,3.9,2.6,2.4,5.0,,5,5,5,3,5,2,3,3,5,3,2.6,5,A
Nevada  55 A,,2.7,3.8,2.0,3.9,,1,5,5,4,5,5,5,3,2,3,5,3,A
Utah  55 A,,3.3,2.9,1.5,1.0,,1,5,5,5,5,4.6,3,5,5,3,5,2,A
Massachusetts  55 A,,3.7,3.0,2.8,4.7,,1,5,4,5,5,2,5,3,5,3,3,3,A
Ohio  55 A,,3.0,1.9,3.8,2.0,,1,5,5,5,5,5,5,3,5,3,2.4,5,A
Hawaii  53 A,,1.4,3.2,3.8,4.4,,5,5,5,5,5,4.2,2,3,3,1,2.4,3,A
New Jersey  53 A,,4.2,3.0,3.4,4.4,,5,5,5,4,5,5,5,1,1,1,1,3,A
District of Columbia  52 A,,2.5,5.0,2.8,1.0,,1,5,5,5,5,1,5,3,5,3,2.6,3,A
Missouri  52 A,,2.7,4.1,3.3,4.5,,4,5,4,1,5,1,1,5,5,3,2.8,3,A
Arkansas  50 A,,1.2,3.4,4.1,4.4,,1,1,4,1,5,4.2,5,5,5,3,2.8,2,A
Florida  50 A,,3.7,2.9,3.2,4.8,,1,5,5,1,5,3,3,3,4,3,2,5,A
Oregon  49 B,,4.3,2.9,1.0,1.0,,1,5,5,5,5,5,3,5,3,1,2.2,3,B
Maryland  49 B,,3.6,3.7,3.5,4.5,,1,1,5,5,5,1,1,3,4,3,5,5,B
Vermont  49 B,,4.1,3.4,4.0,4.9,,1,5,5,4,1,1,1,3,4,3,5,1,B
New Mexico  49 B,,2.0,3.2,1.5,3.9,,1,5,5,3,5,1,1,5,5,5,2.6,2,B
Minnesota  49 B,,5.0,3.2,3.0,4.8,,1,5,5,1,5,2,1,3,5,3,2.2,2,B
North Carolina  49 B,,3.6,3.2,4.0,3.8,,1,1,5,1,5,5,1,3,5,5,2,1,B
New York  48 B,,2.3,3.8,3.6,3.6,,1,1,4,3,5,1,5,3,4,3,5,1,B
Iowa  48 B,,3.9,2.5,3.4,1.0,,5,5,5,5,1,2,1,3,5,3,2,3,B
Connecticut  47 B,,3.6,3.4,2.8,4.9,,1,5,4,5,5,1,1,3,2,3,2.4,3,B
Alaska  46 B,,3.2,4.1,2.0,4.8,,2,5,5,1,5,1,1,3,3,1,5,1,B
Michigan  46 B,,4.0,2.5,3.8,4.8,,5,5,5,5,1,1,3,3,1,1,1,5,B
Wisconsin  46 B,,4.3,3.7,2.2,4.8,,1,5,5,5,1,1,1,5,3,1,2.6,5,B
Kentucky  46 B,,2.6,1.9,4.6,4.5,,1,1,4,1,5,1,5,1,5,3,5,2,B
West Virginia  45 B,,1.4,3.1,2.7,4.4,,1,5,4,1,1,1,5,3,5,3,5,2,B
Delaware  44 B,,3.5,3.2,4.6,4.9,,1,5,4,5,5,1,1,3,1,1,1,2,B
Pennsylvania  44 B,,3.6,3.0,3.4,1.0,,3,5,5,1,1,1,1,3,5,3,5,1,B
Virginia  44 B,,3.9,3.6,3.5,1.0,,1,5,5,1,5,1,1,3,3,5,2,2,B
Kansas  43 C,,2.7,3.4,3.1,4.8,,1,5,5,1,5,1,5,3,1,1,1,5,C
Arizona  41 C,,2.7,2.7,2.3,3.4,,5,5,5,1,5,1,2,3,1,1,1,1,C
Idaho  41 C,,3.1,2.4,1.9,4.8,,5,1,5,1,5,1,5,3,1,1,1,5,C
Maine  41 C,,4.4,1.0,1.4,4.9,,1,5,5,1,5,1,5,3,1,1,1,1,C
Nebraska  40 C,,3.4,3.4,1.5,1.0,,1,1,5,5,5,1,3,3,1,3,2.4,2,C
Texas  39 C,,1.9,3.1,2.1,1.0,,1,5,1,1,5,1,5,1,5,3,3,1,C
Tennessee  39 C,,1.8,3.5,3.6,4.6,,1,1,1,1,5,1,5,1,4,3,2,3,C
South Carolina  35 C,,2.5,2.6,5.0,4.8,,1,5,4,1,1,1,1,3,1,1,1,5,C
Oklahoma  34 C,,1.0,2.3,3.1,4.8,,1,1,5,1,5,1,1,5,1,1,1,2,C
South Dakota  34 C,,2.8,2.5,2.0,4.7,,1,1,5,1,5,1,2,3,1,1,1,5,C
Alabama  34 C,,2.3,3.2,4.1,1.0,,1,5,4,1,1,1,1,3,1,1,1,3,C
Louisiana  33 C,,2.5,2.6,4.3,4.4,,1,5,1,1,1,1,5,1,1,1,1,5,C
Indiana  31 C,,2.0,3.5,3.7,1.0,,1,1,1,1,1,1,5,1,1,3,5,2,C
New Hampshire  31 C,,4.3,3.4,3.2,3.9,,1,1,4,1,1,1,1,3,1,1,1,1,C
Wyoming  28 C,,2.5,1.7,1.7,4.7,,1,1,5,1,1,1,1,3,1,1,1,5,C
North Dakota 27 C,,2.5,2.5,1.6,1.0,,1,1,5,1,1,1,3,3,1,1,1,2,C
Mississippi  25 C,,1.8,2.2,5.0,1.0,,1,1,4,1,1,1,2,1,1,1,1,5,C